Question,Answer,Q&A,categories,pre-score,weight,score
A5_1,3,A5-1. 지출액 규모 큰 가공식품 만족도(가격)  3) 보통이다,['price_sensitivity'],5,1,5
A5_1,4,A5-1. 지출액 규모 큰 가공식품 만족도(가격)  4) 만족하는 편이다,['price_sensitivity'],7,1,7
A5_1,5,A5-1. 지출액 규모 큰 가공식품 만족도(가격)  5) 매우 만족한다,['price_sensitivity'],9,1,9
A5_2,1,A5-2. 지출액 규모 큰 가공식품 만족도(품질)  1) 매우 불만족 한다,"['price_sensitivity', 'premium_orientation']",1,1,1
A5_2,2,A5-2. 지출액 규모 큰 가공식품 만족도(품질)  2) 불만족하는 편이다,"['price_sensitivity', 'premium_orientation']",3,1,3
A5_2,3,A5-2. 지출액 규모 큰 가공식품 만족도(품질)  3) 보통이다,"['price_sensitivity', 'premium_orientation']",5,1,5
A5_2,4,A5-2. 지출액 규모 큰 가공식품 만족도(품질)  4) 만족하는 편이다,"['price_sensitivity', 'premium_orientation']",7,1,7
A5_2,5,A5-2. 지출액 규모 큰 가공식품 만족도(품질)  5) 매우 만족한다,"['price_sensitivity', 'premium_orientation']",9,1,9
A5_3,1,A5-3. 지출액 규모 큰 가공식품 만족도(맛)  1) 매우 불만족 한다,['price_sensitivity'],1,1,1
A5_3,2,A5-3. 지출액 규모 큰 가공식품 만족도(맛)  2) 불만족하는 편이다,['price_sensitivity'],3,1,3
A5_3,3,A5-3. 지출액 규모 큰 가공식품 만족도(맛)  3) 보통이다,['price_sensitivity'],5,1,5
A5_3,4,A5-3. 지출액 규모 큰 가공식품 만족도(맛)  4) 만족하는 편이다,['price_sensitivity'],7,1,7
A5_3,5,A5-3. 지출액 규모 큰 가공식품 만족도(맛)  5) 매우 만족한다,['price_sensitivity'],9,1,9
A5_4,1,A5-4. 지출액 규모 큰 가공식품 만족도(안전성)  1) 매우 불만족 한다,"['price_sensitivity', 'health_orientation']",1,1,1
A5_4,2,A5-4. 지출액 규모 큰 가공식품 만족도(안전성)  2) 불만족하는 편이다,"['price_sensitivity', 'health_orientation']",3,1,3
A5_4,3,A5-4. 지출액 규모 큰 가공식품 만족도(안전성)  3) 보통이다,"['price_sensitivity', 'health_orientation']",5,1,5
A5_4,4,A5-4. 지출액 규모 큰 가공식품 만족도(안전성)  4) 만족하는 편이다,"['price_sensitivity', 'health_orientation']",7,1,7
A5_4,5,A5-4. 지출액 규모 큰 가공식품 만족도(안전성)  5) 매우 만족한다,"['price_sensitivity', 'health_orientation']",9,1,9
A5_5,1,A5-5. 지출액 규모 큰 가공식품 만족도(영양)  1) 매우 불만족 한다,"['price_sensitivity', 'health_orientation']",1,1,1
A5_5,2,A5-5. 지출액 규모 큰 가공식품 만족도(영양)  2) 불만족하는 편이다,"['price_sensitivity', 'health_orientation']",3,1,3
A5_5,3,A5-5. 지출액 규모 큰 가공식품 만족도(영양)  3) 보통이다,"['price_sensitivity', 'health_orientation']",5,1,5
A5_5,4,A5-5. 지출액 규모 큰 가공식품 만족도(영양)  4) 만족하는 편이다,"['price_sensitivity', 'health_orientation']",7,1,7
A5_5,5,A5-5. 지출액 규모 큰 가공식품 만족도(영양)  5) 매우 만족한다,"['price_sensitivity', 'health_orientation']",9,1,9
A5_6,1,A5-6. 지출액 규모 큰 가공식품 만족도(편리성)  1) 매우 불만족 한다,"['price_sensitivity', 'cooking_convenience']",1,1,1
A5_6,2,A5-6. 지출액 규모 큰 가공식품 만족도(편리성)  2) 불만족하는 편이다,"['price_sensitivity', 'cooking_convenience']",3,1,3
A5_6,3,A5-6. 지출액 규모 큰 가공식품 만족도(편리성)  3) 보통이다,"['price_sensitivity', 'cooking_convenience']",5,1,5
A5_6,4,A5-6. 지출액 규모 큰 가공식품 만족도(편리성)  4) 만족하는 편이다,"['price_sensitivity', 'cooking_convenience']",7,1,7
A5_6,5,A5-6. 지출액 규모 큰 가공식품 만족도(편리성)  5) 매우 만족한다,"['price_sensitivity', 'cooking_convenience']",9,1,9
A5_7,1,A5-7. 지출액 규모 큰 가공식품 만족도(다양성)  1) 매우 불만족 한다,"['price_sensitivity', 'variety_seeking']",1,1,1
A5_7,2,A5-7. 지출액 규모 큰 가공식품 만족도(다양성)  2) 불만족하는 편이다,"['price_sensitivity', 'variety_seeking']",3,1,3
A5_7,3,A5-7. 지출액 규모 큰 가공식품 만족도(다양성)  3) 보통이다,"['price_sensitivity', 'variety_seeking']",5,1,5
A5_7,4,A5-7. 지출액 규모 큰 가공식품 만족도(다양성)  4) 만족하는 편이다,"['price_sensitivity', 'variety_seeking']",7,1,7
A5_7,5,A5-7. 지출액 규모 큰 가공식품 만족도(다양성)  5) 매우 만족한다,"['price_sensitivity', 'variety_seeking']",9,1,9
A5_8,1,A5-8. 지출액 규모 큰 가공식품 만족도(전반적 만족도)  1) 매우 불만족 한다,['price_sensitivity'],1,1,1
A5_8,2,A5-8. 지출액 규모 큰 가공식품 만족도(전반적 만족도)  2) 불만족하는 편이다,['price_sensitivity'],3,1,3
A5_8,3,A5-8. 지출액 규모 큰 가공식품 만족도(전반적 만족도)  3) 보통이다,['price_sensitivity'],5,1,5
A5_8,4,A5-8. 지출액 규모 큰 가공식품 만족도(전반적 만족도)  4) 만족하는 편이다,['price_sensitivity'],7,1,7
A5_8,5,A5-8. 지출액 규모 큰 가공식품 만족도(전반적 만족도)  5) 매우 만족한다,['price_sensitivity'],9,1,9
BA2_1,1,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위  1) 가격",['price_sensitivity'],9,1,9
BA2_1,2,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위  2) 용량",,,,
BA2_1,3,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위  3) 브랜드/상표/제조사","['premium_orientation', 'brand_loyalty']",9,1,9
BA2_1,4,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위  4) 제조일자/유통기한",,,,
BA2_1,5,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위  5) 품질인증 표시",['premium_orientation'],9,1,9
BA2_1,6,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위  6) 원산지",,,,
BA2_1,7,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위  7) 영양성분",['health_orientation'],9,1,9
BA2_1,8,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위  8) 식품첨가물",,,,
BA2_1,9,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위  9) 원재료/성분 함량",['health_orientation'],9,1,9
BA2_1,10,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위 10) 포장 디자인",['premium_orientation'],9,1,9
BA2_1,11,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위 11) 포장 재활용 여부",,,,
BA2_1,12,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위 12) 기능성 표시/식품의 효능",['health_orientation'],9,1,9
BA2_1,13,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위 13) 섭취 주의사항(알레르기 유발 등)",['health_orientation'],9,1,9
BA2_1,14,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위 14) 보관방법",,,,
BA2_1,15,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위 15) 알코올 도수",,,,
BA2_1,51,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위 51) 맛",,,,
BA2_1,95,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위 95) 구입하지 않음",,,,
BA2_2,1,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위  1) 가격",['price_sensitivity'],9,0.7,6.3
BA2_2,2,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위  2) 용량",,,,
BA2_2,3,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위  3) 브랜드/상표/제조사","['premium_orientation', 'brand_loyalty']",9,0.7,6.3
BA2_2,4,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위  4) 제조일자/유통기한",,,,
BA2_2,5,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위  5) 품질인증 표시",['premium_orientation'],9,0.7,6.3
BA2_2,6,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위  6) 원산지",,,,
BA2_2,7,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위  7) 영양성분",['health_orientation'],9,0.7,6.3
BA2_2,8,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위  8) 식품첨가물",,,,
BA2_2,9,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위  9) 원재료/성분 함량",['health_orientation'],9,0.7,6.3
BA2_2,10,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위 10) 포장 디자인",['premium_orientation'],9,0.7,6.3
BA2_2,11,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위 11) 포장 재활용 여부",,,,
BA2_2,12,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위 12) 기능성 표시/식품의 효능",['health_orientation'],9,0.7,6.3
BA2_2,13,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위 13) 섭취 주의사항(알레르기 유발 등)",['health_orientation'],9,0.7,6.3
BA2_2,14,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위 14) 보관방법",,,,
BA2_2,15,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위 15) 알코올 도수",,,,
BA2_2,51,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위 51) 맛",,,,
BA2_2,95,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위 95) 구입하지 않음",,,,
BA2_3,1,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_3순위  1) 가격",['price_sensitivity'],9,0.5,4.5
BA2_3,2,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_3순위  2) 용량",,,,
BA2_3,3,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_3순위  3) 브랜드/상표/제조사","['premium_orientation', 'brand_loyalty']",9,0.5,4.5
BA2_3,4,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_3순위  4) 제조일자/유통기한",,,,
BA2_3,5,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_3순위  5) 품질인증 표시",['premium_orientation'],9,0.5,4.5
BA2_3,6,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_3순위  6) 원산지",,,,
BA2_3,7,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_3순위  7) 영양성분",['health_orientation'],9,0.5,4.5
BA2_3,8,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_3순위  8) 식품첨가물",,,,
BA2_3,9,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_3순위  9) 원재료/성분 함량",['health_orientation'],9,0.5,4.5
BA2_3,10,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_3순위 10) 포장 디자인",['premium_orientation'],9,0.5,4.5
BA2_3,11,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_3순위 11) 포장 재활용 여부",,,,
BA2_3,12,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_3순위 12) 기능성 표시/식품의 효능",['health_orientation'],9,0.5,4.5
BA2_3,13,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_3순위 13) 섭취 주의사항(알레르기 유발 등)",['health_orientation'],9,0.5,4.5
BA2_3,14,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_3순위 14) 보관방법",,,,
BA2_3,15,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_3순위 15) 알코올 도수",,,,
BA2_3,51,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_3순위 51) 맛",,,,
BA2_3,95,"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_3순위 95) 구입하지 않음",,,,
BB2_1,1,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_1순위  1) 가격",['price_sensitivity'],9,1,9
BB2_1,2,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_1순위  2) 용량",,,,
BB2_1,3,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_1순위  3) 브랜드/상표/제조사","['premium_orientation', 'brand_loyalty']",9,1,9
BB2_1,4,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_1순위  4) 제조일자/유통기한",,,,
BB2_1,5,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_1순위  5) 품질인증 표시",['premium_orientation'],9,1,9
BB2_1,6,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_1순위  6) 원산지",,,,
BB2_1,7,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_1순위  7) 영양성분",['health_orientation'],9,1,9
BB2_1,8,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_1순위  8) 식품첨가물",,,,
BB2_1,9,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_1순위  9) 원재료/성분 함량",['health_orientation'],9,1,9
BB2_1,10,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_1순위 10) 포장 디자인",['premium_orientation'],9,1,9
BB2_1,11,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_1순위 11) 포장 재활용 여부",,,,
BB2_1,12,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_1순위 12) 기능성 표시/식품의 효능",['health_orientation'],9,1,9
BB2_1,13,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_1순위 13) 섭취 주의사항(알레르기 유발 등)",['health_orientation'],9,1,9
BB2_1,14,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_1순위 14) 보관방법",,,,
BB2_1,15,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_1순위 15) 알코올 도수",,,,
BB2_1,51,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_1순위 51) 맛",,,,
BB2_1,95,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_1순위 95) 구입하지 않음",,,,
BB2_2,1,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_2순위  1) 가격",['price_sensitivity'],9,0.7,6.3
BB2_2,2,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_2순위  2) 용량",,,,
BB2_2,3,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_2순위  3) 브랜드/상표/제조사","['premium_orientation', 'brand_loyalty']",9,0.7,6.3
BB2_2,4,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_2순위  4) 제조일자/유통기한",,,,
BB2_2,5,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_2순위  5) 품질인증 표시",['premium_orientation'],9,0.7,6.3
BB2_2,6,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_2순위  6) 원산지",,,,
BB2_2,7,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_2순위  7) 영양성분",['health_orientation'],9,0.7,6.3
BB2_2,8,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_2순위  8) 식품첨가물",,,,
BB2_2,9,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_2순위  9) 원재료/성분 함량",['health_orientation'],9,0.7,6.3
BB2_2,10,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_2순위 10) 포장 디자인",['premium_orientation'],9,0.7,6.3
BB2_2,11,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_2순위 11) 포장 재활용 여부",,,,
BB2_2,12,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_2순위 12) 기능성 표시/식품의 효능",['health_orientation'],9,0.7,6.3
BB2_2,13,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_2순위 13) 섭취 주의사항(알레르기 유발 등)",['health_orientation'],9,0.7,6.3
BB2_2,14,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_2순위 14) 보관방법",,,,
BB2_2,15,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_2순위 15) 알코올 도수",,,,
BB2_2,51,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_2순위 51) 맛",,,,
BB2_2,95,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_2순위 95) 구입하지 않음",,,,
BB2_3,1,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_3순위  1) 가격",['price_sensitivity'],9,0.5,4.5
BB2_3,2,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_3순위  2) 용량",,,,
BB2_3,3,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_3순위  3) 브랜드/상표/제조사","['premium_orientation', 'brand_loyalty']",9,0.5,4.5
BB2_3,4,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_3순위  4) 제조일자/유통기한",,,,
BB2_3,5,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_3순위  5) 품질인증 표시",['premium_orientation'],9,0.5,4.5
BB2_3,6,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_3순위  6) 원산지",,,,
BB2_3,7,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_3순위  7) 영양성분",['health_orientation'],9,0.5,4.5
BB2_3,8,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_3순위  8) 식품첨가물",,,,
BB2_3,9,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_3순위  9) 원재료/성분 함량",['health_orientation'],9,0.5,4.5
BB2_3,10,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_3순위 10) 포장 디자인",['premium_orientation'],9,0.5,4.5
BB2_3,11,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_3순위 11) 포장 재활용 여부",,,,
BB2_3,12,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_3순위 12) 기능성 표시/식품의 효능",['health_orientation'],9,0.5,4.5
BB2_3,13,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_3순위 13) 섭취 주의사항(알레르기 유발 등)",['health_orientation'],9,0.5,4.5
BB2_3,14,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_3순위 14) 보관방법",,,,
BB2_3,15,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_3순위 15) 알코올 도수",,,,
BB2_3,51,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_3순위 51) 맛",,,,
BB2_3,95,"BB2. 가공식품 품목별 구입 시 우선 확인하는 사항(조미수산가공품, 염건수산가공품)_3순위 95) 구입하지 않음",,,,
BC2_1,1,BC2. 가공식품 품목별 구입 시 우선 확인하는 사항(김치 및 절임류)_1순위  1) 가격,['price_sensitivity'],9,1,9
BC2_1,2,BC2. 가공식품 품목별 구입 시 우선 확인하는 사항(김치 및 절임류)_1순위  2) 용량,,,,
BC2_1,3,BC2. 가공식품 품목별 구입 시 우선 확인하는 사항(김치 및 절임류)_1순위  3) 브랜드/상표/제조사,"['premium_orientation', 'brand_loyalty']",9,1,9
BC2_1,4,BC2. 가공식품 품목별 구입 시 우선 확인하는 사항(김치 및 절임류)_1순위  4) 제조일자/유통기한,,,,
BC2_1,5,BC2. 가공식품 품목별 구입 시 우선 확인하는 사항(김치 및 절임류)_1순위  5) 품질인증 표시,['premium_orientation'],9,1,9
BC2_1,6,BC2. 가공식품 품목별 구입 시 우선 확인하는 사항(김치 및 절임류)_1순위  6) 원산지,,,,
BC2_1,7,BC2. 가공식품 품목별 구입 시 우선 확인하는 사항(김치 및 절임류)_1순위  7) 영양성분,['health_orientation'],9,1,9
BC2_1,8,BC2. 가공식품 품목별 구입 시 우선 확인하는 사항(김치 및 절임류)_1순위  8) 식품첨가물,,,,
BC2_1,9,BC2. 가공식품 품목별 구입 시 우선 확인하는 사항(김치 및 절임류)_1순위  9) 원재료/성분 함량,['health_orientation'],9,1,9
BC2_1,10,BC2. 가공식품 품목별 구입 시 우선 확인하는 사항(김치 및 절임류)_1순위 10) 포장 디자인,['premium_orientation'],9,1,9
BC2_1,11,BC2. 가공식품 품목별 구입 시 우선 확인하는 사항(김치 및 절임류)_1순위 11) 포장 재활용 여부,,,,
BC2_1,12,BC2. 가공식품 품목별 구입 시 우선 확인하는 사항(김치 및 절임류)_1순위 12) 기능성 표시/식품의 효능,['health_orientation'],9,1,9
BC2_1,13,BC2. 가공식품 품목별 구입 시 우선 확인하는 사항(김치 및 절임류)_1순위 13) 섭취 주의사항(알레르기 유발 등),['health_orientation'],9,1,9
BC2_1,14,BC2. 가공식품 품목별 구입 시 우선 확인하는 사항(김치 및 절임류)_1순위 14) 보관방법,,,,
BC2_1,15,BC2. 가공식품 품목별 구입 시 우선 확인하는 사항(김치 및 절임류)_1순위 15) 알코올 도수,,,,
BC2_1,51,BC2. 가공식품 품목별 구입 시 우선 확인하는 사항(김치 및 절임류)_1순위 51) 맛,,,,
BC2_1,95,BC2. 가공식품 품목별 구입 시 우선 확인하는 사항(김치 및 절임류)_1순위 95) 구입하지 않음,,,,
BC2_2,1,BC2. 가공식품 품목별 구입 시 우선 확인하는 사항(김치 및 절임류)_2순위  1) 가격,['price_sensitivity'],9,0.7,6.3
BC2_2,2,BC2. 가공식품 품목별 구입 시 우선 확인하는 사항(김치 및 절임류)_2순위  2) 용량,,,,
BC2_2,3,BC2. 가공식품 품목별 구입 시 우선 확인하는 사항(김치 및 절임류)_2순위  3) 브랜드/상표/제조사,"['premium_orientation', 'brand_loyalty']",9,0.7,6.3
BC2_2,4,BC2. 가공식품 품목별 구입 시 우선 확인하는 사항(김치 및 절임류)_2순위  4) 제조일자/유통기한,,,,
BC2_2,5,BC2. 가공식품 품목별 구입 시 우선 확인하는 사항(김치 및 절임류)_2순위  5) 품질인증 표시,['premium_orientation'],9,0.7,6.3
